批次编号,时间,产品等级,产线,班次,反应器温度,反应器压力,进料流量,催化剂活性,pH值,杂质浓度,能耗,产能,收率,粘度,水分,运营成本指数,运行工况
B01215,2025-05-12 08:00,Grade_A,Line_2,day,224.52,18.02,63.28,0.801,6.86,21.6,1302.4,14.39,89.75,251.1,0.27,1.129,high_load
B01211,2025-05-08 18:00,Grade_A,Line_2,day,216.78,16.31,59.85,0.815,7.04,24.5,1335.0,16.94,93.72,204.1,0.21,1.106,high_load
B01213,2025-05-10 14:00,Grade_A,Line_2,day,213.76,19.73,55.31,0.82,6.88,37.3,1152.2,15.01,92.55,222.6,0.246,1.112,high_load
B01153,2025-03-06 14:00,Grade_A,Line_2,day,216.19,17.38,58.58,0.872,6.94,22.8,1336.2,15.26,92.6,253.0,0.152,1.091,high_load
B01189,2025-04-14 14:00,Grade_A,Line_2,day,217.3,17.1,61.99,0.772,6.77,38.6,1326.2,15.65,88.68,206.9,0.251,1.215,high_load
B01030,2025-11-23 18:00,Grade_A,Line_1,day,197.46,14.65,43.25,0.937,7.1,19.3,978.7,13.09,96.22,187.7,0.146,0.926,normal
B01247,2025-06-16 18:00,Grade_B,Line_1,day,181.88,13.35,37.59,0.616,6.26,36.2,1059.9,9.56,85.8,257.1,0.264,1.218,catalyst_fade
B01312,2025-08-25 16:00,Grade_C,Line_3,day,146.62,10.84,31.84,0.666,6.12,50.5,917.8,6.75,70.37,171.7,0.339,1.561,startup_transition
B01355,2025-10-12 16:00,Grade_C,Line_3,day,152.6,9.81,34.4,0.55,6.03,69.9,802.9,4.54,80.14,150.4,0.546,1.386,startup_transition
B01172,2025-04-25 08:00,Grade_A,Line_2,day,212.05,16.62,64.25,0.832,6.94,27.9,1174.5,14.02,89.85,221.6,0.185,1.077,high_load
B01170,2025-04-23 10:00,Grade_A,Line_2,day,229.76,18.76,56.02,0.847,6.71,22.4,1203.4,14.23,91.63,236.8,0.227,1.244,high_load
B01382,2025-11-11 14:00,Grade_C,Line_3,day,160.61,9.9,26.15,0.566,6.6,67.1,898.5,6.48,74.48,199.5,0.312,1.359,startup_transition
B01307,2025-08-20 22:00,Grade_B,Line_1,night,186.99,12.25,35.19,0.594,6.66,47.8,1067.1,8.35,87.93,309.4,0.254,1.399,catalyst_fade
B01190,2025-04-15 18:00,Grade_A,Line_2,day,223.55,19.03,64.88,0.807,6.63,30.6,1319.3,15.96,89.49,252.5,0.154,1.103,high_load
B01306,2025-08-19 10:00,Grade_B,Line_1,day,187.95,11.64,37.44,0.476,6.61,41.1,1152.5,9.67,79.47,253.3,0.404,1.305,catalyst_fade
B01356,2025-10-13 18:00,Grade_C,Line_3,day,140.76,11.29,30.35,0.605,6.55,88.9,966.7,4.62,65.64,171.3,0.335,1.447,startup_transition
B01290,2025-08-03 14:00,Grade_B,Line_1,day,188.41,13.09,43.65,0.535,6.27,59.2,1190.5,9.93,85.75,291.7,0.408,1.374,catalyst_fade
B01112,2025-02-21 00:00,Grade_A,Line_1,night,204.62,13.91,43.82,0.838,7.23,24.0,926.7,11.6,97.16,215.4,0.112,0.912,normal
B01361,2025-10-18 22:00,Grade_C,Line_3,night,157.56,11.1,21.96,0.577,6.56,84.2,917.4,4.78,75.47,194.1,0.362,1.329,startup_transition
B01348,2025-09-05 00:00,Grade_C,Line_3,night,150.35,9.05,25.51,0.55,6.64,76.5,833.4,4.07,79.57,196.6,0.36,1.588,startup_transition
B01178,2025-04-03 16:00,Grade_A,Line_2,day,230.78,16.28,66.02,0.853,6.9,23.5,1219.7,14.76,88.92,225.4,0.199,1.14,high_load
B01054,2025-12-19 16:00,Grade_A,Line_1,day,185.65,13.15,44.83,0.932,6.84,12.0,967.6,13.37,96.36,212.2,0.1,0.873,normal
B01288,2025-07-01 14:00,Grade_B,Line_1,day,193.09,12.45,41.21,0.642,6.68,49.4,1233.2,9.83,81.86,283.2,0.277,1.423,catalyst_fade
B01363,2025-10-20 00:00,Grade_C,Line_3,night,161.81,9.76,33.86,0.597,6.69,60.9,931.1,4.34,77.57,164.6,0.455,1.359,startup_transition
B01313,2025-08-26 16:00,Grade_C,Line_3,day,149.15,10.14,28.47,0.672,6.99,77.8,836.7,6.21,74.48,160.7,0.44,1.494,startup_transition
B01124,2025-02-05 16:00,Grade_A,Line_2,day,225.36,16.37,63.33,0.827,6.85,24.3,1293.6,16.71,90.03,255.4,0.155,1.223,high_load
B01338,2025-09-23 22:00,Grade_C,Line_3,night,170.88,9.75,23.75,0.693,6.65,108.0,839.7,4.32,75.63,181.0,0.5,1.545,startup_transition
B01303,2025-08-16 00:00,Grade_B,Line_1,night,192.63,10.16,41.49,0.471,6.88,63.5,1104.7,9.23,83.79,285.6,0.295,1.264,catalyst_fade
B01063,2025-12-28 10:00,Grade_A,Line_1,day,193.93,13.94,45.32,0.919,7.03,23.9,1076.5,13.94,94.96,195.3,0.166,0.932,normal
B01258,2025-06-27 18:00,Grade_B,Line_1,day,190.14,12.12,35.18,0.451,6.71,45.2,1225.4,7.94,79.03,280.3,0.281,1.17,catalyst_fade
B01062,2025-12-27 10:00,Grade_A,Line_1,day,202.28,13.1,49.9,0.874,7.36,16.6,1067.7,11.85,95.19,203.5,0.18,0.948,normal
B01297,2025-08-10 14:00,Grade_B,Line_1,day,177.0,12.48,44.0,0.514,6.52,62.7,1111.1,8.75,83.66,269.2,0.283,1.278,catalyst_fade
B01152,2025-03-05 18:00,Grade_A,Line_2,day,212.97,19.97,60.11,0.767,7.09,40.9,1323.9,16.94,90.78,243.1,0.205,1.126,high_load
B01314,2025-08-27 16:00,Grade_C,Line_3,day,160.22,11.1,25.97,0.578,6.86,58.3,841.4,7.13,81.14,156.0,0.427,1.614,startup_transition
B01227,2025-05-24 18:00,Grade_B,Line_1,day,176.19,10.59,42.05,0.478,6.28,58.7,1123.0,7.22,85.05,293.0,0.337,1.251,catalyst_fade
B01137,2025-02-18 14:00,Grade_A,Line_2,day,216.98,17.19,67.24,0.878,6.96,37.6,1308.8,15.47,90.88,233.6,0.271,1.194,high_load
B01078,2025-12-15 18:00,Grade_A,Line_1,day,186.99,14.74,47.44,0.947,7.02,14.8,954.2,11.37,97.39,198.2,0.146,0.978,normal
B01203,2025-05-28 14:00,Grade_A,Line_2,day,228.7,17.18,55.71,0.867,7.07,32.4,1175.9,15.5,91.56,231.7,0.277,1.247,high_load
B01335,2025-09-20 18:00,Grade_C,Line_3,day,170.11,9.3,27.14,0.745,6.54,69.1,880.1,7.88,76.86,160.6,0.449,1.552,startup_transition
B01167,2025-03-20 06:00,Grade_A,Line_2,day,212.34,17.52,62.19,0.757,6.51,24.3,1265.0,15.3,92.71,234.0,0.262,1.069,high_load
B01143,2025-03-24 18:00,Grade_A,Line_2,day,217.11,19.96,62.06,0.814,7.06,41.3,1257.6,14.58,88.68,209.7,0.21,1.101,high_load
B01334,2025-09-19 08:00,Grade_C,Line_3,day,143.64,10.47,21.26,0.736,6.39,66.1,932.8,5.77,67.15,181.6,0.343,1.314,startup_transition
B01275,2025-07-16 10:00,Grade_B,Line_1,day,191.44,12.97,39.09,0.501,6.34,40.4,1220.4,7.65,86.25,255.2,0.288,1.377,catalyst_fade
B01204,2025-05-01 18:00,Grade_A,Line_2,day,213.3,19.44,62.39,0.798,6.91,39.1,1369.5,16.31,88.1,204.1,0.184,1.058,high_load
B01343,2025-09-28 00:00,Grade_C,Line_3,night,153.62,11.84,34.04,0.582,6.73,102.1,898.9,4.49,73.18,167.9,0.39,1.321,startup_transition
B01210,2025-05-07 06:00,Grade_A,Line_2,day,216.11,17.89,59.98,0.77,7.06,41.4,1277.2,16.74,92.44,225.2,0.192,1.133,high_load
B01354,2025-10-11 00:00,Grade_C,Line_3,night,172.67,11.61,28.25,0.749,6.84,78.9,914.0,7.3,70.5,164.4,0.436,1.45,startup_transition
B01027,2025-11-20 18:00,Grade_A,Line_1,day,191.1,15.18,44.28,0.823,6.92,13.6,1075.6,13.9,95.12,205.7,0.12,1.046,normal
B01131,2025-02-12 08:00,Grade_A,Line_2,day,219.85,19.18,59.41,0.872,6.95,25.0,1267.1,15.5,88.27,208.2,0.193,1.145,high_load
B01033,2025-11-26 08:00,Grade_A,Line_1,day,194.11,15.54,47.76,0.913,7.03,14.8,946.6,13.06,97.57,214.4,0.169,1.006,normal
B01148,2025-03-01 08:00,Grade_A,Line_2,day,223.14,18.11,59.7,0.869,6.57,40.7,1357.7,14.61,91.22,209.9,0.261,1.138,high_load
B01359,2025-10-16 14:00,Grade_C,Line_3,day,166.17,11.4,33.93,0.677,6.63,53.8,894.4,5.28,74.6,169.6,0.474,1.361,startup_transition
B01270,2025-07-11 22:00,Grade_B,Line_1,night,188.23,10.99,38.46,0.585,6.47,72.8,1161.7,9.96,78.55,291.5,0.251,1.405,catalyst_fade
B01276,2025-07-17 06:00,Grade_B,Line_1,day,193.53,13.35,40.89,0.604,6.52,64.6,1241.2,7.4,82.99,282.4,0.23,1.431,catalyst_fade
B01291,2025-08-04 10:00,Grade_B,Line_1,day,175.48,12.87,35.38,0.465,6.32,46.3,1064.1,9.46,87.11,272.6,0.31,1.271,catalyst_fade
B01044,2025-11-09 18:00,Grade_A,Line_1,day,195.65,14.65,42.69,0.904,6.81,15.1,1008.2,12.3,95.45,215.7,0.126,0.881,normal
B01217,2025-05-14 14:00,Grade_A,Line_2,day,221.3,17.85,66.08,0.762,6.98,27.6,1312.1,15.81,89.29,251.4,0.169,1.192,high_load
B01119,2025-02-28 00:00,Grade_A,Line_1,night,189.0,12.54,42.74,0.842,7.23,25.0,1065.9,13.9,97.95,206.7,0.151,0.96,normal
B01123,2025-02-04 08:00,Grade_A,Line_2,day,222.95,17.22,57.11,0.872,6.64,43.7,1269.3,14.85,88.47,211.8,0.274,1.105,high_load
B01358,2025-10-15 08:00,Grade_C,Line_3,day,160.83,9.2,30.96,0.665,6.08,53.9,938.8,5.39,78.89,175.0,0.517,1.648,startup_transition
B01029,2025-11-22 22:00,Grade_A,Line_1,night,202.99,12.76,42.44,0.877,7.11,21.7,1043.6,13.82,96.95,187.9,0.123,1.04,normal
B01365,2025-10-22 10:00,Grade_C,Line_3,day,164.33,10.67,25.65,0.731,6.53,67.9,810.8,4.8,76.84,166.3,0.416,1.678,startup_transition
B01370,2025-10-27 16:00,Grade_C,Line_3,day,171.84,9.32,28.13,0.591,6.14,87.9,944.0,7.45,70.25,192.3,0.431,1.354,startup_transition
B01301,2025-08-14 16:00,Grade_B,Line_1,day,177.68,12.0,35.91,0.523,6.21,45.7,1242.8,9.95,84.84,300.6,0.248,1.198,catalyst_fade
B01125,2025-02-06 08:00,Grade_A,Line_2,day,211.14,18.57,62.5,0.835,6.96,30.4,1297.0,15.49,91.76,217.4,0.274,1.147,high_load
B01117,2025-02-26 10:00,Grade_A,Line_1,day,186.34,15.11,45.66,0.87,7.14,18.3,1042.2,13.85,95.49,210.5,0.137,0.956,normal
B01084,2025-01-21 14:00,Grade_A,Line_1,day,193.6,15.55,46.14,0.928,7.04,20.4,976.3,11.94,95.02,218.1,0.149,0.945,normal
B01308,2025-08-21 10:00,Grade_B,Line_1,day,190.89,13.28,36.82,0.582,6.39,67.6,1118.5,8.36,83.91,258.4,0.297,1.183,catalyst_fade
B01251,2025-06-20 14:00,Grade_B,Line_1,day,178.0,13.06,44.0,0.611,6.76,62.0,1182.1,9.04,85.21,292.4,0.419,1.228,catalyst_fade
B01202,2025-05-27 10:00,Grade_A,Line_2,day,216.19,18.58,58.23,0.828,6.93,27.1,1366.5,14.08,93.08,252.5,0.177,1.171,high_load
B01381,2025-11-10 00:00,Grade_C,Line_3,night,150.11,8.72,33.48,0.742,6.0,103.6,802.2,5.99,73.48,198.4,0.452,1.497,startup_transition
B01383,2025-11-12 18:00,Grade_C,Line_3,day,141.29,11.42,30.0,0.718,6.3,114.4,808.8,5.67,68.03,190.3,0.453,1.577,startup_transition
B01235,2025-06-04 22:00,Grade_B,Line_1,night,186.44,13.36,36.54,0.522,6.5,48.3,1182.4,8.8,80.0,242.1,0.254,1.238,catalyst_fade
B01295,2025-08-08 08:00,Grade_B,Line_1,day,181.09,12.99,44.04,0.519,6.49,64.1,1152.5,7.48,80.21,306.8,0.259,1.204,catalyst_fade
B01047,2025-11-12 16:00,Grade_A,Line_1,day,196.12,14.07,43.91,0.851,7.04,17.4,963.3,12.43,96.85,197.9,0.082,0.909,normal
B01101,2025-01-10 10:00,Grade_A,Line_1,day,198.4,15.32,49.39,0.909,7.12,19.0,996.2,12.09,95.45,187.2,0.101,1.04,normal
B01094,2025-01-03 14:00,Grade_A,Line_1,day,191.66,12.67,47.1,0.835,7.11,23.4,982.9,13.18,97.28,212.6,0.104,0.879,normal
B01259,2025-06-28 06:00,Grade_B,Line_1,day,180.96,11.16,42.28,0.569,6.44,75.0,1249.1,8.03,87.01,268.7,0.258,1.434,catalyst_fade
B01281,2025-07-22 06:00,Grade_B,Line_1,day,188.41,10.8,42.5,0.482,6.4,46.3,1217.9,9.07,80.95,300.3,0.226,1.394,catalyst_fade
B01374,2025-10-03 10:00,Grade_C,Line_3,day,146.76,8.13,31.47,0.553,6.27,78.9,933.6,7.95,77.88,154.0,0.532,1.694,startup_transition
B01230,2025-06-27 14:00,Grade_B,Line_1,day,187.79,10.42,39.96,0.516,6.25,50.6,1113.9,8.91,87.63,305.7,0.354,1.369,catalyst_fade
B01221,2025-05-18 00:00,Grade_B,Line_1,night,175.59,12.73,36.73,0.493,6.33,47.6,1226.7,7.1,84.19,259.7,0.279,1.274,catalyst_fade
B01300,2025-08-13 06:00,Grade_B,Line_1,day,191.25,12.32,42.69,0.493,6.23,46.7,1228.8,8.62,84.54,251.9,0.298,1.417,catalyst_fade
B01357,2025-10-14 14:00,Grade_C,Line_3,day,148.15,11.24,21.38,0.63,6.92,101.4,930.2,7.17,67.94,199.5,0.472,1.53,startup_transition
B01243,2025-06-12 00:00,Grade_B,Line_1,night,193.42,13.59,35.2,0.613,6.41,47.6,1148.3,9.09,78.98,309.5,0.247,1.442,catalyst_fade
B01331,2025-09-16 08:00,Grade_C,Line_3,day,153.34,9.15,29.48,0.579,6.17,106.5,860.7,6.53,74.72,200.9,0.318,1.365,startup_transition
B01241,2025-06-10 22:00,Grade_B,Line_1,night,177.25,10.6,40.67,0.567,6.88,39.5,1071.1,9.34,85.86,309.4,0.396,1.413,catalyst_fade
B01299,2025-08-12 08:00,Grade_B,Line_1,day,178.52,12.43,43.42,0.622,6.3,59.2,1102.6,9.66,78.76,246.0,0.224,1.302,catalyst_fade
B01342,2025-09-27 22:00,Grade_C,Line_3,night,168.99,8.49,31.52,0.6,6.77,81.0,932.8,4.13,72.83,196.3,0.43,1.693,startup_transition
B01234,2025-06-03 10:00,Grade_B,Line_1,day,187.15,11.74,35.54,0.516,6.88,53.4,1160.8,9.78,83.4,292.8,0.279,1.179,catalyst_fade
B01050,2025-12-15 16:00,Grade_A,Line_1,day,189.55,12.72,42.14,0.889,6.96,24.6,1019.6,13.09,94.51,214.7,0.129,1.025,normal
B01324,2025-09-09 18:00,Grade_C,Line_3,day,161.72,9.97,34.78,0.729,6.87,84.4,977.2,7.66,69.76,163.3,0.444,1.322,startup_transition
B01353,2025-10-10 22:00,Grade_C,Line_3,night,166.11,11.07,28.65,0.685,6.7,79.9,818.7,7.17,74.35,180.3,0.464,1.514,startup_transition
B01337,2025-09-22 10:00,Grade_C,Line_3,day,152.04,9.88,20.12,0.734,6.95,83.4,801.6,5.72,69.98,163.9,0.302,1.449,startup_transition
B01239,2025-06-08 10:00,Grade_B,Line_1,day,177.41,13.03,36.73,0.647,6.88,71.4,1075.2,8.27,87.88,274.8,0.419,1.338,catalyst_fade
B01041,2025-11-06 18:00,Grade_A,Line_1,day,189.48,12.27,51.57,0.825,6.82,12.2,1071.1,12.86,94.95,198.9,0.091,1.04,normal
B01102,2025-01-11 00:00,Grade_A,Line_1,night,188.84,16.0,43.55,0.858,7.27,16.6,1017.2,13.22,96.11,206.5,0.168,0.974,normal
B01325,2025-09-10 22:00,Grade_C,Line_3,night,156.74,10.16,27.54,0.629,6.69,62.2,975.8,6.79,72.82,191.4,0.303,1.384,startup_transition
B01286,2025-07-27 16:00,Grade_B,Line_1,day,184.81,12.29,38.58,0.607,6.42,44.9,1086.8,7.2,83.05,273.3,0.327,1.178,catalyst_fade
B01183,2025-04-08 18:00,Grade_A,Line_2,day,226.2,18.71,57.14,0.878,6.65,24.4,1186.8,15.68,93.75,213.9,0.203,1.087,high_load
B01229,2025-05-26 10:00,Grade_B,Line_1,day,182.57,12.94,37.95,0.486,6.2,66.6,1164.6,9.55,85.71,285.4,0.256,1.245,catalyst_fade
B01092,2025-01-01 18:00,Grade_A,Line_1,day,186.44,15.45,42.42,0.822,7.35,22.7,1023.6,12.72,96.84,196.7,0.092,0.854,normal
B01201,2025-05-26 14:00,Grade_A,Line_2,day,225.7,16.61,60.35,0.839,7.02,22.2,1173.1,16.26,91.54,223.0,0.275,1.113,high_load
B01219,2025-05-16 08:00,Grade_A,Line_2,day,210.3,19.32,67.77,0.767,6.99,29.3,1295.0,15.93,91.49,215.5,0.256,1.054,high_load
B01326,2025-09-11 08:00,Grade_C,Line_3,day,151.39,10.45,23.9,0.66,6.24,83.0,910.4,5.46,73.48,162.6,0.475,1.449,startup_transition
B01028,2025-11-21 18:00,Grade_A,Line_1,day,203.78,12.46,51.7,0.843,7.38,12.5,939.5,12.3,96.91,192.5,0.141,0.952,normal
B01197,2025-04-22 06:00,Grade_A,Line_2,day,213.11,19.43,60.74,0.75,7.07,25.1,1308.4,14.4,91.9,209.5,0.271,1.105,high_load
B01055,2025-12-20 14:00,Grade_A,Line_1,day,197.95,15.63,50.27,0.829,6.9,13.2,1054.8,12.71,95.15,185.0,0.149,0.99,normal
B01294,2025-08-07 10:00,Grade_B,Line_1,day,180.96,13.55,44.65,0.623,6.65,78.1,1052.2,9.62,79.41,243.3,0.335,1.268,catalyst_fade
B01242,2025-06-11 16:00,Grade_B,Line_1,day,182.66,11.94,41.09,0.457,6.39,41.5,1171.7,9.08,78.39,311.2,0.286,1.221,catalyst_fade
B01015,2025-10-08 08:00,Grade_A,Line_1,day,186.21,14.91,50.01,0.834,6.91,17.1,945.2,11.55,95.85,215.0,0.088,1.012,normal
B01067,2025-12-04 08:00,Grade_A,Line_1,day,193.68,12.39,48.34,0.933,7.07,19.8,1082.6,11.14,97.18,191.7,0.117,0.879,normal
B01026,2025-11-19 18:00,Grade_A,Line_1,day,200.65,13.65,48.7,0.916,6.95,10.7,1046.2,12.15,94.15,198.8,0.1,1.034,normal
B01352,2025-10-09 06:00,Grade_C,Line_3,day,165.7,11.34,21.17,0.593,6.52,57.1,841.6,5.54,68.28,189.4,0.443,1.679,startup_transition
B01277,2025-07-18 00:00,Grade_B,Line_1,night,193.49,13.12,44.1,0.588,6.32,71.7,1070.7,8.97,84.06,265.7,0.396,1.276,catalyst_fade
B01385,2025-11-14 08:00,Grade_C,Line_3,day,164.31,9.1,27.91,0.655,6.7,92.8,819.7,6.92,75.69,209.2,0.421,1.575,startup_transition
B01317,2025-08-02 06:00,Grade_C,Line_3,day,167.44,10.04,30.48,0.673,6.67,75.2,917.9,7.9,66.48,166.6,0.4,1.568,startup_transition
B01037,2025-11-02 22:00,Grade_A,Line_1,night,191.62,13.86,42.62,0.928,7.03,21.1,1090.3,11.06,97.52,203.0,0.128,1.039,normal
B01088,2025-01-25 16:00,Grade_A,Line_1,day,203.43,13.4,43.81,0.839,7.19,9.2,1053.4,13.92,94.37,201.2,0.118,0.941,normal
B01126,2025-02-07 22:00,Grade_A,Line_2,night,217.44,16.29,55.78,0.807,6.79,25.1,1289.5,14.94,92.31,244.1,0.262,1.245,high_load
B01146,2025-03-27 08:00,Grade_A,Line_2,day,221.63,16.64,63.92,0.87,7.03,39.2,1308.8,15.92,93.64,222.1,0.179,1.241,high_load
B01073,2025-12-10 18:00,Grade_A,Line_1,day,195.62,15.65,50.3,0.853,7.29,16.2,1065.2,13.24,95.35,184.6,0.176,0.878,normal
B01139,2025-02-20 16:00,Grade_A,Line_2,day,228.68,16.86,65.76,0.785,6.84,26.8,1175.1,16.22,89.44,203.0,0.268,1.095,high_load
B01309,2025-08-22 14:00,Grade_B,Line_1,day,185.45,13.64,41.84,0.615,6.62,43.0,1230.3,8.8,86.78,282.5,0.37,1.178,catalyst_fade
B01282,2025-07-23 08:00,Grade_B,Line_1,day,187.32,12.7,40.62,0.495,6.65,52.5,1152.2,9.39,84.96,295.4,0.229,1.264,catalyst_fade
B01180,2025-04-05 14:00,Grade_A,Line_2,day,226.44,17.42,63.41,0.756,7.09,36.9,1241.9,16.26,93.79,225.8,0.151,1.102,high_load
B01278,2025-07-19 14:00,Grade_B,Line_1,day,180.47,13.85,44.7,0.541,6.29,53.6,1190.0,9.25,80.99,296.1,0.392,1.364,catalyst_fade
B01336,2025-09-21 22:00,Grade_C,Line_3,night,158.32,10.56,24.64,0.619,6.54,106.3,879.5,5.46,69.42,168.2,0.3,1.626,startup_transition
B01322,2025-09-07 10:00,Grade_C,Line_3,day,156.68,9.41,33.41,0.604,6.95,97.8,963.8,6.0,68.39,194.1,0.518,1.383,startup_transition
B01264,2025-07-05 06:00,Grade_B,Line_1,day,188.43,13.63,43.35,0.584,6.3,39.1,1152.3,9.17,79.01,260.5,0.266,1.447,catalyst_fade
B01287,2025-07-28 14:00,Grade_B,Line_1,day,192.67,12.65,38.31,0.509,6.87,62.8,1145.0,8.68,85.52,291.9,0.243,1.254,catalyst_fade
B01008,2025-10-01 08:00,Grade_A,Line_1,day,188.06,12.64,48.8,0.898,7.03,18.1,1004.2,11.75,96.21,217.7,0.148,0.873,normal
B01059,2025-12-24 22:00,Grade_A,Line_1,night,202.3,15.3,42.01,0.933,7.08,8.9,1013.3,12.87,95.99,197.7,0.085,0.903,normal
B01141,2025-03-22 14:00,Grade_A,Line_2,day,228.9,17.15,58.71,0.758,6.96,36.3,1203.4,16.22,93.1,202.2,0.27,1.134,high_load
B01081,2025-01-18 16:00,Grade_A,Line_1,day,186.05,14.97,47.26,0.917,7.09,21.2,1012.4,11.33,96.02,217.8,0.084,1.007,normal
B01388,2025-11-17 14:00,Grade_C,Line_3,day,140.4,8.8,24.22,0.708,6.31,85.5,858.3,4.02,76.66,170.5,0.481,1.546,startup_transition
B01369,2025-10-26 16:00,Grade_C,Line_3,day,147.9,9.37,25.89,0.577,6.73,86.5,922.0,7.49,76.67,175.0,0.443,1.471,startup_transition
B01061,2025-12-26 08:00,Grade_A,Line_1,day,194.23,12.47,50.32,0.885,7.23,16.7,969.2,13.5,97.92,189.7,0.135,0.927,normal
B01226,2025-05-23 00:00,Grade_B,Line_1,night,185.84,10.7,35.38,0.461,6.62,35.9,1145.6,8.0,84.14,304.5,0.288,1.203,catalyst_fade
B01164,2025-03-17 14:00,Grade_A,Line_2,day,211.7,16.6,57.84,0.809,6.54,35.9,1364.8,16.74,91.96,200.9,0.219,1.132,high_load
B01273,2025-07-14 16:00,Grade_B,Line_1,day,192.8,12.25,41.55,0.541,6.44,72.1,1213.3,9.53,81.32,301.4,0.34,1.365,catalyst_fade
B01142,2025-03-23 10:00,Grade_A,Line_2,day,233.35,16.15,65.87,0.852,6.61,38.7,1350.6,14.87,88.22,217.9,0.228,1.236,high_load
B01147,2025-03-28 00:00,Grade_A,Line_2,night,213.83,18.99,62.87,0.804,6.83,31.8,1273.6,15.99,89.31,214.8,0.248,1.225,high_load
B01099,2025-01-08 10:00,Grade_A,Line_1,day,192.28,15.67,45.87,0.921,7.21,8.9,1033.6,12.0,95.32,202.3,0.119,0.9,normal
B01103,2025-01-12 22:00,Grade_A,Line_1,night,188.09,12.72,48.93,0.901,7.34,20.3,927.9,12.09,96.88,218.8,0.141,1.0,normal
B01165,2025-03-18 06:00,Grade_A,Line_2,day,223.24,17.1,67.71,0.752,6.99,36.9,1335.4,16.73,88.64,205.8,0.169,1.088,high_load
B01108,2025-01-17 00:00,Grade_A,Line_1,night,197.31,15.62,42.19,0.848,6.89,24.0,1029.6,12.27,97.1,189.5,0.092,0.898,normal
B01320,2025-09-05 16:00,Grade_C,Line_3,day,164.3,11.86,28.45,0.704,6.76,117.3,882.6,5.84,74.98,151.6,0.329,1.327,startup_transition
B01296,2025-08-09 06:00,Grade_B,Line_1,day,192.03,13.73,44.94,0.542,6.58,48.1,1063.5,7.29,85.26,279.0,0.286,1.188,catalyst_fade
B01012,2025-10-05 22:00,Grade_A,Line_1,night,204.29,15.72,49.55,0.91,7.23,14.8,1040.9,12.12,97.6,198.1,0.105,0.863,normal
B01329,2025-09-14 08:00,Grade_C,Line_3,day,164.17,8.24,32.21,0.645,6.63,81.5,860.2,5.44,74.53,205.9,0.364,1.308,startup_transition
B01267,2025-07-08 22:00,Grade_B,Line_1,night,188.8,11.91,39.22,0.627,6.32,41.0,1195.3,9.94,86.44,248.3,0.402,1.295,catalyst_fade
B01053,2025-12-18 06:00,Grade_A,Line_1,day,197.19,14.96,51.48,0.847,6.93,19.2,948.3,11.52,94.3,180.1,0.125,0.969,normal
B01024,2025-11-17 10:00,Grade_A,Line_1,day,195.91,15.34,47.83,0.839,6.88,13.2,1081.8,13.39,97.44,216.0,0.101,0.9,normal
B01240,2025-06-09 16:00,Grade_B,Line_1,day,181.39,12.91,43.07,0.467,6.59,59.8,1221.3,8.56,87.17,241.0,0.36,1.326,catalyst_fade
B01171,2025-04-24 18:00,Grade_A,Line_2,day,210.74,17.09,67.9,0.814,6.71,43.5,1249.3,16.04,91.96,205.1,0.23,1.21,high_load
B01367,2025-10-24 18:00,Grade_C,Line_3,day,156.96,10.39,21.32,0.59,6.97,89.2,928.2,4.16,80.68,168.3,0.422,1.598,startup_transition
B01376,2025-10-05 06:00,Grade_C,Line_3,day,158.22,9.81,32.41,0.558,7.0,86.3,871.2,6.94,74.48,181.0,0.458,1.32,startup_transition
B01023,2025-11-16 06:00,Grade_A,Line_1,day,186.85,13.69,44.77,0.82,7.26,18.8,967.2,13.22,96.21,197.1,0.081,0.865,normal
B01160,2025-03-13 14:00,Grade_A,Line_2,day,219.92,16.96,59.18,0.787,6.78,36.2,1220.9,15.08,93.3,228.0,0.254,1.194,high_load
B01003,2025-10-24 08:00,Grade_A,Line_1,day,186.85,12.39,50.47,0.898,7.28,20.4,1016.5,13.92,95.51,202.1,0.163,0.974,normal
B01375,2025-10-04 00:00,Grade_C,Line_3,night,164.08,11.47,33.31,0.636,6.78,92.6,948.4,6.88,71.7,206.3,0.443,1.514,startup_transition
B01268,2025-07-09 00:00,Grade_B,Line_1,night,178.63,11.52,38.59,0.456,6.68,72.7,1244.7,7.39,87.2,249.0,0.302,1.164,catalyst_fade
B01199,2025-04-24 10:00,Grade_A,Line_2,day,224.84,18.08,60.79,0.751,6.71,23.0,1347.9,16.08,90.87,213.7,0.162,1.211,high_load
B01236,2025-06-05 08:00,Grade_B,Line_1,day,184.47,10.46,42.85,0.544,6.83,46.9,1178.4,8.16,81.71,270.5,0.257,1.163,catalyst_fade
B01019,2025-10-12 08:00,Grade_A,Line_1,day,203.83,14.28,47.79,0.825,6.85,19.2,1021.7,11.95,95.04,206.8,0.111,0.903,normal
B01106,2025-01-15 10:00,Grade_A,Line_1,day,190.46,15.62,43.47,0.877,7.37,11.8,1001.2,12.05,94.11,182.1,0.13,0.897,normal
B01068,2025-12-05 22:00,Grade_A,Line_1,night,196.32,15.17,43.7,0.83,7.32,18.5,963.3,13.74,94.57,198.4,0.105,0.901,normal
B01265,2025-07-06 16:00,Grade_B,Line_1,day,180.28,10.2,43.13,0.625,6.8,51.2,1185.4,8.28,79.16,308.1,0.398,1.153,catalyst_fade
